Day,eggsLaid,eggInHive,Larva,Pupa,Worker,Drone,Death,Birth,HoneyStock,Flower 1 Nectar,Flower 2 Nectar,Flower 3 Nectar,
1,41,41,0,0,100.0,0,0,0,3063.75,20000,50000,10000,
2,46,87,0,0,100.0,0,0,0,3135.75,18160,46000,9210,
3,12,99,0,0,100.0,0,0,0,3202.25,18320,45500,9220,
4,44,143,0,0,100.0,0,0,0,3263.25,18360,45750,9150,
5,34,177,41,0,100.0,0,0,41,3304.75,18320,46050,9110,
6,36,213,87,0,100.0,0,0,87,3319.25,18480,45900,9060,
7,47,260,99,0,100.0,0,0,99,3342.0,18280,46200,9100,
8,30,290,143,0,100.0,0,0,143,3337.25,18260,45550,9240,
9,12,302,177,0,100.0,0,0,177,3322.0,18380,45750,9140,
10,33,335,213,0,100.0,0,0,213,3278.75,18420,45400,9190,
11,40,375,219,41,100.0,0,0,260,3235.75,18260,46000,9150,
12,34,409,203,87,100.0,0,0,290,3200.5,18480,45650,9110,
13,22,431,203,99,100.0,0,0,302,3161.5,18340,45750,9160,
14,21,452,192,143,49.0,0,51,335,3095.0,18560,45800,9040,
15,12,464,198,177,24.0,0,76,375,3017.75,19220,48000,9540,
16,14,478,196,213,12.0,0,88,409,2925.5,19740,48550,9800,
17,44,522,171,260,6.0,0,94,431,2841.5,19860,49500,9850,
18,38,560,162,290,3.0,0,97,452,2763.0,19820,49850,9950,
19,29,589,162,302,1.0,0,99,464,2681.0,19880,49800,10000,
20,40,629,143,335,0.0,0,100,478,2607.5,19940,50000,9980,
21,42,671,147,334,34.0,7,100,481,2560.0,20000,50000,10000,
22,40,711,151,322,76.0,11,100,473,2531.0,19440,48050,9730,
23,17,728,158,332,87.0,12,100,490,2518.0,18640,46550,9410,
24,22,750,177,309,128.0,15,100,486,2508.5,18660,45300,9380,
25,15,765,207,287,159.0,18,100,494,2490.75,17740,44300,9000,
26,31,796,233,265,192.0,21,100,498,2488.0,17440,43400,8550,
27,45,841,206,262,237.0,23,100,468,2514.0,17000,41500,8330,
28,19,860,190,270,264.0,26,100,460,2569.0,16120,40400,7860,
29,24,884,176,287,276.0,26,100,463,2628.25,15240,39200,7880,
30,47,931,167,294,308.0,27,100,461,2731.75,14900,39300,7750,
31,29,960,170,296,345.0,30,100,466,2847.5,14800,36750,7490,
32,48,1008,149,302,377.0,32,100,451,2965.0,14160,35600,7110,
33,18,1026,156,297,398.0,33,100,453,3116.25,13200,35950,6730,
34,27,1053,181,298,416.0,36,100,479,3256.25,12960,33800,6770,
35,18,1071,195,301,396.0,36,132,496,3396.0,13220,33050,6350,
36,22,1093,204,318,370.0,36,172,522,3516.0,13440,32950,6780,
37,18,1111,159,319,392.0,43,187,478,3668.25,13780,34000,7040,
38,20,1131,140,300,391.0,46,223,440,3822.25,13220,33150,6880,
39,42,1173,116,295,382.0,50,257,411,3984.25,13220,33450,6830,
40,17,1190,91,302,385.0,53,291,393,4127.5,13840,33200,6800,
41,50,1240,80,289,382.0,57,332,369,4291.5,13440,34750,6660,
42,47,1287,60,289,391.0,58,362,349,4473.5,13440,33850,6890,
43,36,1323,102,272,392.0,60,376,374,4612.5,13720,33050,6710,
44,50,1373,119,250,380.0,62,408,369,4761.75,13320,34300,6620,
45,11,1384,169,235,362.0,62,441,404,4846.25,13740,33250,6900,
46,33,1417,194,226,362.0,66,468,420,4932.0,13820,35450,6910,
47,19,1436,212,199,373.0,72,496,411,4998.75,13980,34550,6980,
48,33,1469,216,200,371.0,74,515,416,5049.5,13360,34900,6950,
49,32,1501,185,218,383.0,74,527,403,5157.0,13600,35350,6820,
50,20,1521,201,188,412.0,78,541,389,5245.5,13460,33150,7030,
51,14,1535,170,209,403.0,82,575,379,5358.75,13240,33150,6390,
52,29,1564,156,216,403.0,86,611,372,5491.5,13440,32500,6630,
53,32,1596,152,252,376.0,86,638,404,5601.5,13040,31950,6940,
54,45,1641,148,276,341.0,82,677,424,5663.25,13840,33150,7010,
55,19,1660,151,287,300.0,78,722,438,5713.5,14200,36300,7070,
56,32,1692,147,298,285.0,78,759,445,5762.0,15140,37150,7480,
57,17,1709,160,299,285.0,75,780,459,5788.0,15620,37350,7530,
58,47,1756,166,312,284.0,72,804,478,5845.0,14540,39000,7760,
59,10,1766,153,302,305.0,76,821,455,5901.75,15380,36900,7800,
60,13,1779,165,305,295.0,74,850,470,5932.75,15320,36750,7280,
61,46,1825,168,269,304.0,77,888,437,5985.25,15380,37900,7320,
62,47,1872,186,251,327.0,81,908,437,6045.5,15180,36650,7370,
63,36,1908,164,247,337.0,82,933,411,6112.25,14740,35450,7280,
64,30,1938,138,262,318.0,82,976,400,6172.0,14500,35550,7160,
65,10,1948,165,270,298.0,82,1007,435,6201.0,14420,36950,7400,
66,29,1977,180,269,297.0,82,1041,449,6234.0,14740,38000,7520,
67,25,2002,199,267,309.0,82,1048,466,6256.75,15220,37150,7490,
68,26,2028,180,281,339.0,84,1049,461,6315.75,14480,37400,7510,
69,24,2052,180,259,369.0,85,1050,439,6373.25,14620,35300,7100,
70,28,2080,196,252,367.0,83,1074,448,6450.0,13320,35600,6940,
71,27,2107,175,284,361.0,82,1095,459,6525.75,14320,33750,6860,
72,10,2117,154,302,363.0,85,1119,456,6608.5,13900,34750,7020,
73,46,2163,142,306,361.0,84,1154,448,6688.75,14300,34500,6790,
74,18,2181,117,295,377.0,83,1178,412,6795.5,14080,35150,6840,
75,20,2201,131,286,353.0,83,1221,417,6887.25,13760,34400,6750,
76,48,2249,112,283,341.0,85,1263,395,6957.25,14020,35050,7100,
77,33,2282,122,291,322.0,85,1299,413,7016.0,14320,36600,6940,
78,43,2325,114,270,339.0,90,1324,384,7119.5,14700,37000,7150,
79,21,2346,110,284,337.0,87,1339,394,7204.5,14500,34600,7240,
80,40,2386,155,274,321.0,84,1371,429,7269.5,14700,35600,7060,
81,46,2432,164,252,344.0,86,1392,416,7328.5,14780,35900,7340,
82,31,2463,197,215,351.0,93,1425,412,7382.25,13640,36150,7270,
